ProteinGroup	Bin	TP0HS	TP24HS	TP1R	TP2R	TP4R	TP8R	TP0HSsdev	TP24HSsdev	TP1Rsdev	TP2Rsdev	TP4Rsdev	TP8Rsdev	Anova	HCluster
Cre18.g746450.t1.p1	29.6.2.5	-1.725756498	-0.090923009	-0.103049346	-0.201810175	-0.570007157	-1.177588466	0.506750374	0.133820842	0.090331305	0.132889062	0.167085631	0.262242605	0.0	1360.1359.1342.1337.1317.1194.1161.0
Cre18.g746450.t1.p1	20.2.1	-1.725756498	-0.090923009	-0.103049346	-0.201810175	-0.570007157	-1.177588466	0.506750374	0.133820842	0.090331305	0.132889062	0.167085631	0.262242605	0.0	1360.1359.1342.1337.1317.1194.1161.0
Cre06.g264300.t1.p1	29.2.1.1.1.1.015	-0.243967718	-0.193207006	-0.378203403	-0.270436627	-0.312327468	0.085372142	0.397862053	0.157790388	0.440919106	0.212221855	0.390243857	0.230938392	0.009385482	1360.1358.1356.1351.1315.1282.1191.1038.1
Cre06.g264800.t1.p1;Cre06.g273850.t1.p1;Cre06.g275800.t1.p1;Cre06.g268250.t1.p1;Cre06.g265400.t1.p1;Cre06.g268100.t1.p1;Cre17.g710450.t1.p1;Cre17.g709150.t1.p1;Cre06.g274750.t1.p1;Cre06.g266750.t1.p1;Cre06.g274250.t1.p1;Cre06.g264900.t1.p1	28.1.3	0.461531064	-0.197026443	-0.173636363	-0.199791127	-0.285227312	-0.030740978	0.219012172	0.16455736	0.171374757	0.169859186	0.143008097	0.137130344	0.0	1360.1358.1356.1336.1330.1294.1216.1108.1062.869.2
Cre12.g555050.t1.p1	28.1	-0.978555946	0.421952703	0.528510844	0.556447313	0.459903023	0.198341922	0.570590847	0.137824612	0.169975754	0.178563033	0.145104451	0.932369623	0.003216962	1360.1359.1357.1350.1347.1339.1310.1271.1105.1027.936.3
Cre03.g168450.t1.p1	29.6.2.2	0.086563856	0.394963819	0.420761033	0.445178976	0.424577394	0.226897868	0.118042857	0.114306843	0.151278977	0.11841662	0.087201088	0.172958591	1.11e-13	1360.1359.1357.1354.1346.1307.1266.1248.1186.949.899.792.711.4
Cre17.g709050.t1.p1;Cre13.g569950.t1.p1;Cre06.g268350.t1.p1;Cre16.g648500.t1.p1;Cre17.g710550.t1.p1;Cre17.g714650.t1.p1;Cre06.g265000.t1.p1;Cre17.g708150.t1.p1;Cre06.g275750.t1.p1;Cre12.g504800.t1.p1;Cre06.g276850.t1.p1;Cre06.g274050.t1.p1;Cre12.g506500.t1.p1;Cre16.g650300.t1.p1;Cre06.g265500.t1.p1;Cre06.g274850.t1.p1;Cre17.g713950.t1.p1;Cre06.g276600.t1.p1;Cre06.g265250.t1.p1;Cre16.g649900.t1.p1;Cre17.g713550.t1.p1;Cre06.g271250.t1.p1;Cre12.g504650.t1.p1;Cre17.g711850.t1.p1;Cre06.g266650.t1.p1;Cre06.g274350.t1.p1;Cre06.g267950.t1.p1;Cre17.g708700.t1.p1;Cre12.g505500.t1.p1;Cre06.g264650.t1.p1;Cre06.g274000.t1.p1;Cre12.g506300.t1.p1	28.1.3	0.364427697	-0.119555098	-0.05657245	-0.088392065	-0.128952972	-0.039564366	0.202489106	0.182699971	0.127494028	0.156110489	0.192277448	0.146132357	3.56e-07	1360.1358.1356.1336.1330.1325.1297.1258.1245.1165.1000.820.727.5
Cre01.g051500.t1.p1	1.1.99	-0.030157183	0.889979835	0.956844688	0.805855928	0.226734495	-0.427001226	0.121097453	0.696793032	0.650774813	0.541717049	0.417980636	0.462622646	9.21e-12	1360.1359.1357.1350.1347.1321.1288.1231.6
Cre10.g424450.t1.p1	29.3.2	-0.348205116	-0.258273408	-0.06487012	-0.112029236	0.079227877	0.102067687	0.195771639	0.159048917	0.067960165	0.087016797	0.218211586	0.132297116	8.06e-06	1360.1359.1357.1354.1353.1328.1322.1278.1229.1121.940.893.7
Cre10.g424450.t1.p1	34.9	-0.348205116	-0.258273408	-0.06487012	-0.112029236	0.079227877	0.102067687	0.195771639	0.159048917	0.067960165	0.087016797	0.218211586	0.132297116	8.06e-06	1360.1359.1357.1354.1353.1328.1322.1278.1229.1121.940.893.7
