"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",22.8865404730267,-0.372571591242147,0.35082552831434,-1.06198540634227,0.28824231039941,0.621824896184316
"AT1G01020",67.0510130007697,-0.147129567545823,0.247116610272209,-0.595385180234361,0.551586029384291,0.815133525890225
"AT1G01030",35.31055990978,0.59109686453666,0.304438048198578,1.94159983626981,0.0521855627316484,0.243688055903011
"AT1G01040",201.482156813797,0.372338835047382,0.225840281447199,1.64868212464761,0.0992127741105461,0.355226312927362
"AT1G01050",180.590193009542,-0.579889092800987,0.200008535368039,-2.89932173011478,0.00373970939386178,0.0401591852375088
"AT1G01060",175.516506463819,-0.449214948787569,0.211074495526724,-2.12822940861036,0.0333180676453342,0.183523593187743
"AT1G01070",15.5889111148267,0.0623398759536672,0.374649817514532,0.166395052231005,0.867846067426179,0.957465308893223
"AT1G01080",240.983875229231,0.182096710437463,0.188048337618533,0.96835054616041,0.332869328852332,0.664326249392996
"AT1G01090",569.479960551081,0.0340270835188524,0.154638930852683,0.220042154528786,0.825838324591891,0.941880384847671
"AT1G01100",525.291646321425,-0.236585245972502,0.23826207645094,-0.992962243494999,0.320728354658857,0.651358297123461
"AT1G01110",16.7657201866924,0.537814606797021,0.380059056731481,1.41508167552233,0.157044550239581,0.459365075902903
"AT1G01120",648.065424476433,-0.0996014468015409,0.185006018920253,-0.538368683261457,0.590322542351577,0.839163453857391
"AT1G01130",10.9762567118973,0.0734872098512998,0.384173152326959,0.191286687802579,0.848300990115813,0.949713467898775
"AT1G01140",288.664581738047,0.439247795401126,0.197788418389394,2.22079633872374,0.0263647586866539,0.157468752358954
"AT1G01160",92.4286669501184,-0.00898465220410354,0.222623696129821,-0.0403580227994428,0.967807695917466,0.991508079553377
"AT1G01170",176.817653588974,0.137367097315059,0.208052269792196,0.660252817487944,0.509091602917607,0.788901195724559
"AT1G01180",45.7583774567197,0.586330146624359,0.277183063780529,2.11531735968043,0.034402907881111,0.18698238289641
"AT1G01190",29.2896213543684,0.0084675705050596,0.343906481369626,0.0246217241133027,0.980356691214582,0.994239729086705
"AT1G01200",11.1506906095944,-0.932620395239789,0.388660203153646,-2.39957780002267,0.0164139913727642,0.114049779793566
"AT1G01210",71.9751486044602,-0.940729237500654,0.258968230091395,-3.63260480704005,0.000280574556845317,0.00544198939431731
"AT1G01220",124.226822096186,0.257153985819121,0.209915723311996,1.22503441744055,0.220562253105969,0.546288864284799
"AT1G01225",17.4178840623986,0.154986050775728,0.364426425832969,0.425287629516648,0.670627010317855,0.877531988167651
"AT1G01230",134.05933338841,0.268964198769391,0.204716641551838,1.31383651436703,0.18890122678306,0.506001677605972
"AT1G01240",104.354778669854,1.637143356014,0.266061592294707,6.1532494859333,7.59112452284188e-10,8.70850102272849e-08
"AT1G01250",21.5149949678005,-0.808825820612147,0.380699072410403,-2.12458048686867,0.0336216335057158,0.184472852953204
"AT1G01260",112.255907967924,-0.119645594309481,0.224303869826744,-0.533408515875797,0.593750823827922,0.840417393883428
"AT1G01290",39.4351614145679,-0.24650231201928,0.286969528054704,-0.858984275056166,0.390349191680642,0.711423974840609
"AT1G01300",335.221086107902,-0.248202691904733,0.210827007434665,-1.17728129296552,0.239083251001706,0.569597604703824
"AT1G01320",2648.5166409705,-0.602326028742967,0.153986224986351,-3.9115578604278,9.17026799399207e-05,0.00215931692163913
"AT1G01340",15.4269325588798,0.144565058343108,0.368013439899369,0.392825485891597,0.694448379725117,0.887531541073863
"AT1G01350",75.9167589121732,-0.0603698142501085,0.249744164957338,-0.241726625566692,0.808991997053852,0.934566994279218
"AT1G01360",43.2659768763915,0.174772037172794,0.277863812668059,0.628984521210684,0.529359189884652,0.800978269140248
"AT1G01370",21.6853969225602,0.0252312994407182,0.349318070897954,0.0722301579642269,0.942418745262977,0.984162204339345
"AT1G01390",21.7007877564084,-0.485190126142509,0.358420358480294,-1.35369019829041,0.175835236541169,0.486924365658751
"AT1G01420",56.2706669736139,-0.129766722281528,0.287565732652945,-0.451259338462764,0.651802647123058,0.86947071773775
"AT1G01430",488.77952392646,0.0465457756410275,0.176705836380412,0.263408252916014,0.792235930247861,0.928952753260968
"AT1G01440",103.568442977671,0.331854061610755,0.229495716759914,1.44601418403779,0.148173223503458,0.444543298834963
"AT1G01448",32.5146737117562,-0.0269548104741118,0.307213379664459,-0.0877397022992683,0.930083563416179,0.979106544433303
"AT1G01470",429.866344077501,0.176397841461213,0.395845376970256,0.445623093570871,0.655869526112589,0.871514364377919
