Timepoint	0m	15m	180m	2880m	5760m	15m	180m	2880m	5760m
AT1G24360.1	0.448312206	0.726672413	0.687272993	0.640759675	0.725455389	0.683923298	0.600105107	0.760697314	0.660010315
"AT1G68010.2;AT1G68010.1"	0.692283794	0.766365578	0.782173286	0.747025577	0.916171946	0.642931558	0.747048236	0.83807009	0.687341555
AT3G26650.1	0.525778059	0.757901886	0.741496323	0.762355317	0.661907647	0.57632063	0.638927189	0.711974934	0.67249908
"AT2G31610.1;AT5G35530.1;AT3G53870.1"	0.595731805	0.796871168	0.791464294	0.595507083	0.549868491	0.499763623	0.52942896	0.592822089	0.589183287
"AT1G13440.1;AT1G13440.2;AT3G04120.1"	0.486319132	0.62075506	0.591578063	0.656106346	0.624318392	0.556687188	0.621914954	0.638460497	0.606449976
"AT4G31300.1;AT4G31300.2;AT4G31300.3"	1.149947244	0.902949684	0.716527352	0.894731109	0.683192768	0.63507052	0.600700063	0.73775384	0.689933348
"AT1G52220.1;AT1G52220.3;AT1G52220.2"	0.802200864	0.897031236	0.845201135	0.942772485	0.981631051	0.908313287	0.938188067	0.981090197	0.975835746
"AT2G27530.1;AT2G27530.2;AT1G08360.1;AT5G22440.1;AT5G22440.2"	0.849231498	0.775609923	0.684720518	0.580394218	0.482157832	0.531078274	0.519955268	1.151203203	0.493089523
AT1G42970.1	0.614514269	0.672519679	0.617196567	0.614896366	0.61854709	0.510558025	0.533613596	0.60184333	0.570411536
"AT2G47800.1;AT3G62700.1"	0.93643041	0.696230353	1.999021549	0.609384396	0.747825815	0.470549516	0.516999186	0.328887223	1.280973365
"AT3G61440.4;AT3G61440.1"	0.54732286	0.572335063	0.578309937	0.594810911	0.6300683	0.582436167	0.615926449	0.686939056	0.686413685
"AT3G27850.1;AT3G27830.1;AT3G27830.2"	1.019722329	0.729119333	0.676961082	0.641498954	0.576998743	0.504474612	0.503294643	0.542396764	0.557398744
AT5G48300.1	0.482572617	0.627689104	0.577882979	0.562817569	0.506344159	0.45431339	0.470646104	0.567371303	0.510160859
AT4G11150.1	0.985518028	0.749273674	0.783210035	0.650899553	0.769594346	0.726620451	0.703179426	0.807821022	0.811058838
AT1G09750.1	0.773188154	1.048329192	0.995206776	0.878739701	0.860054287	0.842844629	0.922571493	0.787784199	0.892311337
"AT3G23990.1;AT2G33210.2;AT2G33210.1"	0.795926324	0.619859939	0.594208698	0.644073452	0.636709704	0.683918882	0.583487018	0.706730457	0.568343222
"AT1G15930.1;AT1G15930.2;AT2G32060.3;AT2G32060.1;AT2G32060.2"	0.945586985	0.766753712	0.676279613	0.519910562	0.469989527	0.409090758	0.493193415	0.422470241	0.424827928
"AT3G15020.2;AT3G15020.1"	0.469074787	0.551637896	0.551750021	0.645885341	0.502689606	1.055652536	0.508944762	0.674117852	1.062688002
AT5G19220.1	0.575777987	0.767114601	0.724208041	0.634486033	0.602449817	0.575986252	0.55802398	0.658213859	0.674766604
"AT1G42970.1;AT3G26650.1;AT1G12900.3;AT1G12900.4;AT1G12900.1;AT1G12900.5"	0.701437904	1.846356561	0.693594565	0.695247012	2.04014243	0.654651299	0.560930436	0.680939001	0.955717627
"AT3G02080.1;AT5G61170.1;AT5G15520.1"	0.785197809	0.723064347	0.784138955	0.617101555	0.470251707	0.565389883	0.618987789	0.494486991	0.494858839
AT2G28000.1	0.713210792	0.655544185	0.691903715	0.682242971	0.638733982	0.538608785	0.558584936	0.597019306	0.470053193
AT5G19820.1	0.566714201	0.917446301	0.754365483	0.795265244	0.850597097	0.968306279	0.780285242	0.846788828	0.82266348
"AT1G68560.1;AT3G45940.1"	0.955879817	0.844364119	1.060503262	0.896458695	1.118404846	0.98386359	1.175797918	0.909666477	1.075789317
AT4G39756.1	0.528285745	0.587446291	0.474539089	0.576697774	1.452216	0.440507376	0.479124573	0.612039611	1.259582815
"AT3G50820.1;AT5G66570.1"	0.702722057	1.03828597	0.961170096	0.942638239	0.878220699	0.866632412	0.850131339	0.896316703	0.884109017
"AT1G03220.1;AT1G03230.1"	0.805140082	0.92238802	1.018365379	0.917225968	1.365885202	1.183051577	1.179992888	1.523922008	1.406451669
"AT4G31990.2;AT4G31990.1;AT4G31990.3;AT4G31990.4"	0.550206767	0.549351373	0.548676357	0.475068015	0.49826623	0.512068423	0.414028116	0.561261288	0.498908576
ATCG00350.1	0.680402457	1.117752193	1.062163188	1.115790689	1.081400105	1.009035383	0.935665997	1.0825509	1.046743074
"AT3G51800.2;AT3G51800.1;AT3G51800.3"	1.398885866	0.719389649	0.717918779	0.683185817	0.618863202	0.476078874	0.600151054	0.658803342	0.712411307
"AT1G09340.2;AT1G09340.1"	0.787241403	0.740201043	0.70526309	0.704940834	0.667526735	0.587362052	0.586244771	0.702952031	0.606486193
"AT5G60670.1;AT2G37190.1;AT3G53430.1"	0.719952476	0.774368503	0.738991468	0.576266571	0.518195264	0.48069527	0.49272139	0.520331298	0.513904243
"AT2G33370.2;AT2G33370.1;AT1G04480.1;AT3G04400.2;AT3G04400.1"	0.867901831	0.889963849	0.731976234	0.620204366	0.481455877	0.510599344	0.479258814	0.560238348	0.49820042
AT5G14040.1	0.683943711	0.530792996	0.554740859	0.583279209	0.642818075	0.658228546	0.593072725	0.614488984	0.650512929
AT3G52930.1	0.533029722	0.695622224	0.614111646	0.563844626	0.495739527	0.52589677	0.477667219	0.463058181	0.480674075
"AT3G22230.1;AT2G32220.1;AT4G15000.1;AT4G15000.2"	0.758655767	0.808415908	0.801584532	0.606072145	0.548034309	0.54402159	0.51390974	0.574158088	0.549069714
AT4G33680.1	0.596156867	0.817804839	0.786159351	0.712263222	0.682939408	0.571074318	0.589496695	0.667043737	0.599536493
"AT4G24280.1;AT5G49910.1"	0.631371115	0.660693996	0.635994944	0.710829948	0.673331487	0.576142324	0.61808786	0.675832008	0.574811226
AT5G04740.1	1.637253612	0.656157289	0.751652043	0.696861363	0.7822086	0.657022606	0.718108481	0.728458954	0.713903931
"AT2G21330.2;AT2G21330.3;AT2G21330.1;AT4G38970.2;AT4G38970.1;AT2G01140.1"	0.650733593	0.731331073	0.675872488	0.687040556	0.638904885	0.55043332	0.563494587	0.678375929	0.622392585
AT2G06850.1	2.007666187	2.112553416	1.740444195	1.151032722	1.172493496	1.465264045	1.161532535	1.096805212	1.282309074
"AT4G25080.6;AT4G25080.4;AT4G25080.2;AT4G25080.3;AT4G25080.5;AT4G25080.1"	1.247069193	1.055011674	1.044833896	0.634573232	0.562074478	0.42912061	0.475732766	0.620681957	0.645247191
"AT4G02770.1;AT1G03130.1"	1.729338594	1.141750721	1.131372462	1.151068759	1.174899458	1.029241575	1.091536875	1.04827379	1.106111715
"AT5G49870.1;AT5G49870.2;AT5G49850.1"	0.670719574	0.820198258	0.782900442	0.790192048	0.738682711	0.653147175	0.684379801	0.70222824	0.690725645
AT3G01280.1	0.541074728	0.580921563	0.621495218	0.61378889	0.663236975	0.641055864	0.645257904	0.648921156	0.673548452
"AT4G12800.2;AT4G12800.1"	1.96749786	1.140181473	1.03978667	1.196057748	1.076133549	0.946356376	0.921885445	0.912671043	1.0456175
ATCG00720.1	0.68587867	0.791628518	0.80693291	0.725664632	0.60951835	0.557711241	0.553171464	0.662222469	0.625441454
AT1G43670.1	0.626138681	0.636817342	0.633050548	0.63542606	0.556344871	0.460133881	0.55883194	0.602923272	0.534971872
"AT3G04230.1;AT5G18380.2;AT5G18380.1;AT2G09990.1"	1.038006879	0.810197352	0.845146614	0.626283616	0.506438154	0.502932082	0.480097252	0.597788942	0.493972751
