Condition	Heat	Heat	Heat	Heat	Heat	Heat	Heat	Heat
State	Acclimation	Acclimation	Acclimation	Acclimation	De-Acclimation	De-Acclimation	De-Acclimation	De-Acclimation
Timepoint	15	180	2880	5760	15	180	2880	5760
AT1G24360.1	1511738.186	1546294.6	941178.1121	1195158.181	770051.7959	894117.1619	748402.232	1190515.671
AT1G34430.1	911016.5217	1162784.073	642357.7729	983249.2139	404170.6133	811574.0885	546825.613	643503.961
ATMG00520.1	269922.0015	321783.4014	182292.4138	160292.3323	22589.93166	1.17E+84	54355.50317	179915.6041
AT5G19760.1	927142.3761	1204267.638	783818.5026	1418760.728	983230.2842	985560.1237	1144386.388	1323267.214
AT3G26650.1	5482018.783	6307950.838	4777320.385	5873322.741	3041648.531	6119804.601	4267687.489	5878038.509
AT2G33800.1	3283255.064	3660214.494	2477559.991	1988321.863	963957.048	1775434.327	1241673.693	1866915.228
AT3G24503.1	813341.3004	1074201.723	638883.1645	1054636.49	454865.6176	820113.6524	833888.8793	1350247.924
AT1G42970.1	10003470.76	10184716.99	6427624.773	9523497.367	7519950.209	6825347.64	7443674.777	8064063.821
AT2G22320.1	2892146.528	1924107.435	1260046.922	2021906.279	885432.9324	1084998.826	1238952.789	1882692.447
AT5G48300.1	1324936.104	1409174.31	983163.9367	1149609.711	820271.1256	875615.4055	1053930.529	1215006.724
AT3G04120.1	2620943.215	2305453.026	1703751.011	2074199.648	1243290.791	1796328.48	1259000.43	7.09854E+13
AT4G11150.1	1428789.323	1556539.085	979426.3917	1519299.037	802734.1926	1141935.918	1030719.652	6.98E+30
AT1G09750.1	4619623.593	3995954.192	3170420.196	4546782.249	2100891.394	4175074.832	2985603.668	4232967.66
AT1G68560.1	2045681.772	2240649.471	1773421.788	2190440.949	2005687.19	1847501.781	2343538.289	2252396.81
AT5G19220.1	1653606.936	1562259.135	1057626.081	1500307.3	759191.1575	1003404.106	965304.1907	1563085.885
AT3G21180.1	1067962.65	655394.5945	3088177.283	3254973.07	1497296.777	4574216.11	1885379.328	3658133013
AT2G43030.1	2310466.276	2223175.81	1156755.151	1478189.494	1032120.089	1013381.082	1517610.362	1464087.471
