StepN	DirN	GainBefore	GainNow
0	0	0.	4.117822
1	1	4.117822	4.265572
2	1	4.265572	4.401165
3	1	4.401165	5.382620
4	1	5.382620	5.018778
0	0	0.	5.340031
1	1	5.340031	5.234870
2	1	5.234870	5.082487
3	1	5.082487	5.230238
4	1	5.230238	4.866395
0	0	0.	5.382620
1	1	5.382620	5.226264
2	1	5.226264	5.166892
3	1	5.166892	4.880734
4	1	4.880734	4.917729
0	0	0.	5.018778
1	1	5.018778	4.976189
2	1	4.976189	4.862422
3	1	4.862422	4.585819
4	1	4.585819	4.589793
0	0	0.	4.269842
1	1	4.269842	4.532110
2	1	4.532110	4.717339
3	1	4.717339	4.674750
4	1	4.674750	4.560983
0	0	0.	3.781438
1	1	3.781438	4.077436
2	1	4.077436	4.510394
3	1	4.510394	4.728608
4	1	4.728608	4.686019
0	0	0.	3.431345
1	1	3.431345	3.632289
2	1	3.632289	3.875563
3	1	3.875563	4.296411
4	1	4.296411	4.676541
0	0	0.	3.254297
1	1	3.254297	3.604390
2	1	3.604390	4.092793
3	1	4.092793	4.359671
4	1	4.359671	4.347806
0	0	0.	3.101914
1	1	3.101914	3.452007
2	1	3.452007	3.940411
3	1	3.940411	4.379728
4	1	4.379728	4.564956
0	0	0.	2.619937
1	1	2.619937	2.867538
2	1	2.867538	3.290482
3	1	3.290482	3.637875
4	1	3.637875	4.066497
