StepN	DirN	GainBefore	GainNow
0	0	0.	2.634506
1	1	2.634506	3.357068
2	1	3.357068	3.849413
3	1	3.849413	4.347591
4	1	4.347591	3.838292
0	0	0.	3.357068
1	1	3.357068	3.247502
2	1	3.247502	3.745680
3	1	3.745680	3.785836
4	1	3.785836	3.325399
0	0	0.	3.849413
1	1	3.849413	3.933170
2	1	3.933170	3.623947
3	1	3.623947	3.747457
4	1	3.747457	3.238157
0	0	0.	4.347591
1	1	4.347591	3.692722
2	1	3.692722	3.979841
3	1	3.979841	3.931334
4	1	3.931334	3.768316
0	0	0.	3.979841
1	1	3.979841	3.749600
2	1	3.749600	3.675274
3	1	3.675274	3.572147
4	1	3.572147	3.423871
0	0	0.	3.931334
1	1	3.931334	3.665189
2	1	3.665189	3.626478
3	1	3.626478	3.606673
4	1	3.606673	3.103823
