StepN	DirN	GainBefore	GainNow
0	0	0.	0.352737
1	1	0.352737	1.713450
2	1	1.713450	1.880443
3	1	1.880443	1.762717
4	1	1.762717	2.050874
0	0	0.	1.713450
1	1	1.713450	1.847179
2	1	1.847179	1.761550
3	1	1.761550	2.081608
4	1	2.081608	1.729672
0	0	0.	2.050874
1	1	2.050874	1.848959
2	1	1.848959	1.879694
3	1	1.879694	1.714400
4	1	1.714400	1.624838
0	0	0.	2.081608
1	1	2.081608	1.712701
2	1	1.712701	1.681966
3	1	1.681966	1.509238
4	1	1.509238	1.698938
0	0	0.	1.879694
1	1	1.879694	1.702157
2	1	1.702157	1.707543
3	1	1.707543	1.471488
4	1	1.471488	1.607080
