StepN	DirN	GainBefore	GainNow
0	0	0.	3.284562
1	1	3.284562	3.159705
2	1	3.159705	3.160039
3	1	3.160039	2.892171
4	1	2.892171	2.619942
0	0	0.	2.851488
1	1	2.851488	3.116882
2	1	3.116882	2.986624
3	1	2.986624	2.801322
4	1	2.801322	2.877106
0	0	0.	2.619942
1	1	2.619942	2.793102
2	1	2.793102	2.779029
3	1	2.779029	2.795536
4	1	2.795536	2.519456
0	0	0.	2.381501
1	1	2.381501	2.553123
2	1	2.553123	2.831713
3	1	2.831713	2.917403
4	1	2.917403	2.929193
0	0	0.	2.274598
1	1	2.274598	2.530886
2	1	2.530886	2.594638
3	1	2.594638	2.652416
4	1	2.652416	2.855801
0	0	0.	2.193585
1	1	2.193585	2.449873
2	1	2.449873	2.712089
3	1	2.712089	2.698017
4	1	2.698017	2.415084
0	0	0.	1.920730
1	1	1.920730	2.136126
2	1	2.136126	2.446220
3	1	2.446220	2.649354
4	1	2.649354	2.769201
