Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
2	5	2	0.000000	0.000000	0.000000	13.427693	0.009292	0.803277	0	0.000000
7	4	2	0.000000	0.000000	0.000000	11.350327	0.000077	1.000000	0	0.000000
12	6	3	0.000000	0.000000	0.000000	16.928385	0.063860	0.834003	0	0.000000
20	3	3	0.000000	0.000000	0.000000	6.206800	0.000118	1.000000	0	0.000000
5	4	3	0.000000	0.000000	0.000000	14.210917	0.000239	0.753343	0	0.000000
16	5	3	0.000000	0.000000	0.000000	11.609791	0.000228	1.000000	0	0.000000
17	3	3	0.000000	0.000000	0.000000	11.549501	0.000176	1.000000	0	0.000000
6	4	4	0.000000	0.000000	0.000000	5.856108	0.000404	1.000000	0	0.000000
25	4	4	0.000000	0.000000	0.000000	12.781231	0.000354	1.000000	0	0.000000
23	14	4	0.000000	0.000000	0.000000	18.728209	0.000962	0.858916	0	0.000000
8	14	5	0.000000	0.000000	0.000000	24.058883	0.002845	0.533684	0	0.000000
3	5	5	0.000000	0.000000	0.000000	14.492229	0.001045	0.801675	0	0.000000
4	5	5	0.000000	0.000000	0.000000	14.663799	0.001190	0.613965	0	0.000000
33	5	5	0.000000	0.000000	0.000000	12.203602	0.001042	1.000000	0	0.000000
19	6	5	0.000000	0.000000	0.000000	8.841705	0.003722	1.000000	0	0.000000
11	10	5	0.000000	0.000000	0.000000	23.089571	0.001252	0.702610	0	0.000000
26	7	6	0.000000	0.000000	0.000000	18.292515	0.004657	0.719999	0	0.000000
9	21	6	0.000000	0.000000	0.000000	32.362934	0.005766	0.506695	0	0.000000
13	35	7	0.000000	0.000000	0.000000	36.103155	0.015168	0.495924	0	0.000000
27	24	7	0.000000	0.000000	0.000000	26.430555	0.012130	0.712907	0	0.000000
34	11	8	0.000000	0.000000	0.000000	19.639991	0.022789	0.820401	0	0.000000
30	15	8	0.000000	0.000000	0.000000	22.792331	0.018165	0.485116	0	0.000000
21	26	9	0.000000	0.000000	0.000000	40.754588	0.028485	0.362961	0	0.000000
1	63	11	0.000000	0.000000	0.000000	52.750054	0.163490	0.495192	0	0.000000
31	35	11	0.000000	0.000000	0.000000	28.506312	0.161359	0.748161	0	0.000000
28	26	15	0.000000	0.000000	0.000000	51.058859	0.890064	0.402914	0	0.000000
29	190	32	0.000000	0.000000	0.000000	160.405716	542.898547	0.351517	0	0.000000
