Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
2	5	2	0.000000	0.000000	0.000000	13.427693	0.012993	0.803277	0	0.000000
7	4	2	0.000000	0.000000	0.000000	11.350327	0.000143	1.000000	0	0.000000
12	6	3	0.000000	0.000000	0.000000	16.928385	0.093559	0.834003	0	0.000000
20	3	3	0.000000	0.000000	0.000000	6.206800	0.000200	1.000000	0	0.000000
5	4	3	0.000000	0.000000	0.000000	14.210917	0.000604	0.753343	0	0.000000
16	5	3	0.000000	0.000000	0.000000	11.609791	0.000240	1.000000	0	0.000000
17	3	3	0.000000	0.000000	0.000000	11.549501	0.000185	1.000000	0	0.000000
6	4	4	0.000000	0.000000	0.000000	5.856108	0.001123	1.000000	0	0.000000
25	4	4	0.000000	0.000000	0.000000	12.781231	0.000943	1.000000	0	0.000000
23	14	4	0.000000	0.000000	0.000000	18.728209	0.002212	0.858916	0	0.000000
8	14	5	0.000000	0.000000	0.000000	24.058883	0.004961	0.533684	0	0.000000
3	5	5	0.000000	0.000000	0.000000	14.492229	0.002075	0.801675	0	0.000000
4	5	5	0.000000	0.000000	0.000000	14.663799	0.004138	0.613965	0	0.000000
33	5	5	0.000000	0.000000	0.000000	12.203602	0.002397	1.000000	0	0.000000
19	6	5	0.000000	0.000000	0.000000	8.841705	0.004697	1.000000	0	0.000000
11	10	5	0.000000	0.000000	0.000000	23.089571	0.002989	0.702610	0	0.000000
26	7	6	0.000000	0.000000	0.000000	18.292515	0.009545	0.719999	0	0.000000
9	21	6	0.000000	0.000000	0.000000	32.362934	0.016646	0.506695	0	0.000000
13	35	7	0.000000	0.000000	0.000000	36.103155	0.035936	0.495924	0	0.000000
27	24	7	0.000000	0.000000	0.000000	26.430555	0.031711	0.712907	0	0.000000
34	11	8	0.000000	0.000000	0.000000	19.639991	0.048228	0.820401	0	0.000000
30	15	8	0.000000	0.000000	0.000000	22.792331	0.039309	0.485116	0	0.000000
21	26	9	0.000000	0.000000	0.000000	40.754588	0.084490	0.362961	0	0.000000
1	63	11	0.000000	0.000000	0.000000	52.750054	0.308146	0.495192	0	0.000000
Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
2	5	2	0.000000	0.000000	0.000000	13.427693	0.013940	0.803277	0	0.000000
7	4	2	0.000000	0.000000	0.000000	11.350327	0.000180	1.000000	0	0.000000
12	6	3	0.000000	0.000000	0.000000	16.928385	0.119138	0.834003	0	0.000000
20	3	3	0.000000	0.000000	0.000000	6.206800	0.000255	1.000000	0	0.000000
5	4	3	0.000000	0.000000	0.000000	14.210917	0.000424	0.753343	0	0.000000
16	5	3	0.000000	0.000000	0.000000	11.609791	0.000403	1.000000	0	0.000000
17	3	3	0.000000	0.000000	0.000000	11.549501	0.000287	1.000000	0	0.000000
6	4	4	0.000000	0.000000	0.000000	5.856108	0.000940	1.000000	0	0.000000
25	4	4	0.000000	0.000000	0.000000	12.781231	0.000822	1.000000	0	0.000000
23	14	4	0.000000	0.000000	0.000000	18.728209	0.001880	0.858916	0	0.000000
8	14	5	0.000000	0.000000	0.000000	24.058883	0.002786	0.533684	0	0.000000
3	5	5	0.000000	0.000000	0.000000	14.492229	0.002878	0.801675	0	0.000000
4	5	5	0.000000	0.000000	0.000000	14.663799	0.011390	0.613965	0	0.000000
