new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	2.077591
1	1	2.077591	4.730537
2	1	4.730537	4.847588
3	1	4.847588	4.743413
4	1	4.743413	4.186190
0	0	0.	4.140849
1	1	4.140849	4.378578
2	1	4.378578	4.387417
3	1	4.387417	4.248514
4	1	4.248514	3.788611
0	0	0.	3.652864
1	1	3.652864	4.077207
2	1	4.077207	4.103048
3	1	4.103048	4.740010
4	1	4.740010	4.622959
0	0	0.	3.581522
1	1	3.581522	3.735934
2	1	3.735934	4.175528
3	1	4.175528	4.258422
4	1	4.258422	4.141371
0	0	0.	3.578119
1	1	3.578119	3.732531
2	1	3.732531	4.172125
3	1	4.172125	4.126049
4	1	4.126049	4.008998
0	0	0.	3.194254
1	1	3.194254	3.367427
2	1	3.367427	3.710029
3	1	3.710029	3.891864
4	1	3.891864	4.387685
0	0	0.	2.955321
1	1	2.955321	3.339186
2	1	3.339186	3.676858
3	1	3.676858	4.064776
4	1	4.064776	4.145459
0	0	0.	2.604602
1	1	2.604602	2.843535
2	1	2.843535	3.102012
3	1	3.102012	3.727931
4	1	3.727931	4.148653
0	0	0.	2.404356
1	1	2.404356	2.755075
2	1	2.755075	3.138940
3	1	3.138940	3.618007
4	1	3.618007	3.656279
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.921922
1	1	1.921922	2.724772
2	1	2.724772	2.646331
3	1	2.646331	2.389498
4	1	2.389498	2.163211
0	0	0.	2.724772
1	1	2.724772	2.438325
2	1	2.438325	2.359884
3	1	2.359884	2.103051
4	1	2.103051	1.876765
0	0	0.	2.389498
1	1	2.389498	2.381201
2	1	2.381201	2.157360
3	1	2.157360	2.151996
4	1	2.151996	2.257660
0	0	0.	2.157360
1	1	2.157360	2.139532
2	1	2.139532	2.266507
3	1	2.266507	2.098377
4	1	2.098377	1.961634
0	0	0.	1.969350
1	1	1.969350	1.975200
2	1	1.975200	2.235786
3	1	2.235786	2.373667
4	1	2.373667	2.303320
0	0	0.	1.849263
1	1	1.849263	2.037274
2	1	2.037274	2.045570
3	1	2.045570	1.877440
4	1	1.877440	1.683210
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.000000
1	1	0.000000	3.454317
2	1	3.454317	3.411693
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.301817
1	1	1.301817	3.823384
2	1	3.823384	3.843312
3	1	3.843312	3.898695
4	1	3.898695	3.888680
0	0	0.	3.289016
1	1	3.289016	3.485057
2	1	3.485057	3.613603
3	1	3.613603	3.763075
4	1	3.763075	3.905554
0	0	0.	3.299972
1	1	3.299972	3.529750
2	1	3.529750	3.618958
3	1	3.618958	3.678112
4	1	3.678112	3.668097
0	0	0.	2.939599
1	1	2.939599	3.219434
2	1	3.219434	3.374589
3	1	3.374589	3.643250
4	1	3.643250	3.730031
0	0	0.	3.600549
1	1	3.600549	3.975738
2	1	3.975738	4.123997
3	1	4.123997	4.178244
4	1	4.178244	4.189124
0	0	0.	3.421046
1	1	3.421046	3.592206
2	1	3.592206	3.920304
3	1	3.920304	4.134877
4	1	4.134877	4.179109
0	0	0.	3.165050
1	1	3.165050	3.474286
2	1	3.474286	3.686594
3	1	3.686594	3.852838
4	1	3.852838	3.862853
0	0	0.	3.588217
1	1	3.588217	3.730896
2	1	3.730896	3.740911
3	1	3.740911	3.724994
4	1	3.724994	3.946753
0	0	0.	2.858598
1	1	2.858598	2.953027
2	1	2.953027	3.039890
3	1	3.039890	3.174740
4	1	3.174740	3.366085
0	0	0.	2.670518
1	1	2.670518	2.841860
2	1	2.841860	2.987493
3	1	2.987493	3.259265
4	1	3.259265	3.373808
0	0	0.	2.448690
1	1	2.448690	2.636769
2	1	2.636769	2.731199
3	1	2.731199	2.811180
4	1	2.811180	2.935553
0	0	0.	2.250437
1	1	2.250437	2.444317
2	1	2.444317	2.711991
3	1	2.711991	2.811769
4	1	2.811769	3.019279
0	0	0.	2.011961
1	1	2.011961	2.169024
2	1	2.169024	2.364973
3	1	2.364973	2.560349
4	1	2.560349	2.740510
0	0	0.	1.941541
1	1	1.941541	2.098604
2	1	2.098604	2.294553
3	1	2.294553	2.508764
4	1	2.508764	2.765665
0	0	0.	1.904645
1	1	1.904645	2.038714
2	1	2.038714	2.253164
3	1	2.253164	2.489929
4	1	2.489929	2.741349
0	0	0.	1.838187
1	1	1.838187	1.972255
2	1	1.972255	2.186705
3	1	2.186705	2.423470
4	1	2.423470	2.674891
0	0	0.	1.758159
1	1	1.758159	1.892227
2	1	1.892227	2.106678
3	1	2.106678	2.343443
4	1	2.343443	2.594863
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	2.590444
1	1	2.590444	7.581805
2	1	7.581805	8.560602
3	1	8.560602	14.905117
4	1	14.905117	15.002650
0	0	0.	3.651670
1	1	3.651670	8.242286
2	1	8.242286	8.855606
3	1	8.855606	15.373406
4	1	15.373406	15.404890
0	0	0.	15.050608
1	1	15.050608	15.355618
2	1	15.355618	15.387102
3	1	15.387102	15.416513
4	1	15.416513	15.385982
0	0	0.	11.982758
1	1	11.982758	12.893808
2	1	12.893808	13.269840
3	1	13.269840	13.656872
4	1	13.656872	13.968638
0	0	0.	12.786739
1	1	12.786739	13.124078
2	1	13.124078	13.495579
3	1	13.495579	13.932306
4	1	13.932306	14.338405
0	0	0.	10.851212
1	1	10.851212	11.979661
2	1	11.979661	12.317059
3	1	12.317059	12.636814
4	1	12.636814	13.061233
0	0	0.	9.796791
1	1	9.796791	10.424097
2	1	10.424097	10.954290
3	1	10.954290	11.245922
4	1	11.245922	11.734480
0	0	0.	9.766260
1	1	9.766260	10.393567
2	1	10.393567	10.923759
3	1	10.923759	11.215392
4	1	11.215392	11.703950
0	0	0.	9.317509
1	1	9.317509	9.808726
2	1	9.808726	10.324530
3	1	10.324530	10.718460
4	1	10.718460	11.194877
0	0	0.	9.595847
1	1	9.595847	10.370985
2	1	10.370985	10.843040
3	1	10.843040	11.344357
4	1	11.344357	11.873723
0	0	0.	8.883868
1	1	8.883868	9.605985
2	1	9.605985	10.205841
3	1	10.205841	10.793518
4	1	10.793518	11.294835
0	0	0.	9.776409
1	1	9.776409	10.164123
2	1	10.164123	10.524767
3	1	10.524767	10.987336
4	1	10.987336	11.536062
0	0	0.	9.688472
1	1	9.688472	10.076186
2	1	10.076186	10.436830
3	1	10.436830	10.899399
4	1	10.899399	11.448125
0	0	0.	9.452022
1	1	9.452022	9.839737
2	1	9.839737	10.200381
3	1	10.200381	10.689334
4	1	10.689334	11.258156
0	0	0.	8.177398
1	1	8.177398	8.650877
2	1	8.650877	9.110245
3	1	9.110245	9.497960
4	1	9.497960	9.977799
0	0	0.	8.100639
1	1	8.100639	8.574118
2	1	8.574118	9.033486
3	1	9.033486	9.421201
4	1	9.421201	9.901675
0	0	0.	6.515188
1	1	6.515188	6.723145
2	1	6.723145	7.044324
3	1	7.044324	7.394053
4	1	7.394053	7.713087
0	0	0.	6.430576
1	1	6.430576	6.638533
2	1	6.638533	6.959712
3	1	6.959712	7.309442
4	1	7.309442	7.628476
0	0	0.	6.125571
1	1	6.125571	6.616706
2	1	6.616706	6.865294
3	1	6.865294	7.272341
4	1	7.272341	7.840327
0	0	0.	6.030384
1	1	6.030384	6.521520
2	1	6.521520	6.770107
3	1	6.770107	7.177154
4	1	7.177154	7.745140
0	0	0.	5.939276
1	1	5.939276	6.430411
2	1	6.430411	6.678998
3	1	6.678998	7.086045
4	1	7.086045	7.654031
0	0	0.	5.467440
1	1	5.467440	5.953951
2	1	5.953951	6.436455
3	1	6.436455	6.938903
4	1	6.938903	7.533183
0	0	0.	4.862475
1	1	4.862475	5.179084
2	1	5.179084	5.491942
3	1	5.491942	5.991803
4	1	5.991803	6.452775
0	0	0.	4.748404
1	1	4.748404	5.065013
2	1	5.065013	5.377871
3	1	5.377871	5.877732
4	1	5.877732	6.338704
0	0	0.	4.528444
1	1	4.528444	4.833449
2	1	4.833449	5.132515
3	1	5.132515	5.506834
4	1	5.506834	5.877419
0	0	0.	4.408685
1	1	4.408685	4.713690
2	1	4.713690	5.027815
3	1	5.027815	5.418388
4	1	5.418388	5.874854
0	0	0.	4.158188
1	1	4.158188	4.395225
2	1	4.395225	4.701478
3	1	4.701478	5.105200
4	1	5.105200	5.534449
0	0	0.	4.019666
1	1	4.019666	4.256703
2	1	4.256703	4.562957
3	1	4.562957	4.966678
4	1	4.966678	5.395927
0	0	0.	3.896474
1	1	3.896474	4.130546
2	1	4.130546	4.454758
3	1	4.454758	4.883270
4	1	4.883270	5.355483
0	0	0.	3.768541
1	1	3.768541	4.002613
2	1	4.002613	4.326825
3	1	4.326825	4.755337
4	1	4.755337	5.267448
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.000000
1	1	0.000000	83.812465
2	1	83.812465	88.216224
3	1	88.216224	89.534897
4	1	89.534897	85.585168
0	0	0.	0.958939
1	1	0.958939	75.437634
2	1	75.437634	74.024089
3	1	74.024089	87.962117
4	1	87.962117	84.324581
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	4.117822
1	1	4.117822	4.265572
2	1	4.265572	4.401165
3	1	4.401165	5.382620
4	1	5.382620	5.018778
0	0	0.	5.340031
1	1	5.340031	5.234870
2	1	5.234870	5.082487
3	1	5.082487	5.230238
4	1	5.230238	4.866395
0	0	0.	5.382620
1	1	5.382620	5.226264
2	1	5.226264	5.166892
3	1	5.166892	4.880734
4	1	4.880734	4.917729
0	0	0.	5.018778
1	1	5.018778	4.976189
2	1	4.976189	4.862422
3	1	4.862422	4.585819
4	1	4.585819	4.589793
0	0	0.	4.269842
1	1	4.269842	4.532110
2	1	4.532110	4.717339
3	1	4.717339	4.674750
4	1	4.674750	4.560983
0	0	0.	3.781438
1	1	3.781438	4.077436
2	1	4.077436	4.510394
3	1	4.510394	4.728608
4	1	4.728608	4.686019
0	0	0.	3.431345
1	1	3.431345	3.632289
2	1	3.632289	3.875563
3	1	3.875563	4.296411
4	1	4.296411	4.676541
0	0	0.	3.254297
1	1	3.254297	3.604390
2	1	3.604390	4.092793
3	1	4.092793	4.359671
4	1	4.359671	4.347806
0	0	0.	3.101914
1	1	3.101914	3.452007
2	1	3.452007	3.940411
3	1	3.940411	4.379728
4	1	4.379728	4.564956
0	0	0.	2.619937
1	1	2.619937	2.867538
2	1	2.867538	3.290482
3	1	3.290482	3.637875
4	1	3.637875	4.066497
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.937590
1	1	1.937590	1.867236
2	1	1.867236	2.163592
3	1	2.163592	2.168725
4	1	2.168725	1.996532
0	0	0.	2.168725
1	1	2.168725	2.069725
2	1	2.069725	1.960626
3	1	1.960626	1.788433
4	1	1.788433	1.772680
0	0	0.	1.996532
1	1	1.996532	1.991399
2	1	1.991399	1.975645
3	1	1.975645	1.973199
4	1	1.973199	1.814688
0	0	0.	1.980779
1	1	1.980779	1.978333
2	1	1.978333	1.879333
3	1	1.879333	1.770234
4	1	1.770234	1.613406
0	0	0.	1.881779
1	1	1.881779	1.897532
2	1	1.897532	1.774633
3	1	1.774633	1.946826
4	1	1.946826	2.005081
0	0	0.	1.641224
1	1	1.641224	1.740224
2	1	1.740224	1.755977
3	1	1.755977	1.928170
4	1	1.928170	1.794807
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	3.761268
1	1	3.761268	92.085161
2	1	92.085161	96.856599
3	1	96.856599	97.926831
4	1	97.926831	97.767371
0	0	0.	8.532705
1	1	8.532705	11.008839
2	1	11.008839	97.499386
3	1	97.499386	97.555381
4	1	97.555381	95.777424
0	0	0.	8.532705
1	1	8.532705	8.977788
2	1	8.977788	10.048020
3	1	10.048020	10.345678
4	1	10.345678	97.452203
0	0	0.	8.373245
1	1	8.373245	96.697139
2	1	96.697139	95.993668
3	1	95.993668	95.967278
4	1	95.967278	95.755288
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.059926
1	1	1.059926	0.796816
2	1	0.796816	0.786478
3	1	0.786478	0.490465
0	0	0.	0.796816
1	1	0.796816	0.772631
2	1	0.772631	0.690828
3	1	0.690828	0.394815
4	1	0.394815	0.223718
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.225994
1	1	0.225994	0.351535
2	1	0.351535	0.121601
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.935775
1	1	0.935775	2.064603
2	1	2.064603	1.911423
0	0	0.	2.064603
1	1	2.064603	1.770638
2	1	1.770638	1.663474
3	1	1.663474	0.814573
4	1	0.814573	0.782595
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.816035
1	1	1.816035	1.804147
2	1	1.804147	1.796994
3	1	1.796994	1.431507
4	1	1.431507	1.388028
0	0	0.	1.804147
1	1	1.804147	1.755725
2	1	1.755725	1.658462
3	1	1.658462	1.292975
4	1	1.292975	1.438660
0	0	0.	1.796994
1	1	1.796994	1.385692
2	1	1.385692	1.392845
3	1	1.392845	1.404732
4	1	1.404732	1.450547
0	0	0.	1.431507
1	1	1.431507	1.390237
2	1	1.390237	1.346759
3	1	1.346759	1.407069
4	1	1.407069	1.247069
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.093017
1	1	0.093017	0.106430
2	1	0.106430	0.136722
3	1	0.136722	0.088696
0	0	0.	0.106430
1	1	0.106430	0.096235
2	1	0.096235	0.095261
3	1	0.095261	0.074094
4	1	0.074094	0.061027
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	3.284562
1	1	3.284562	3.159705
2	1	3.159705	3.160039
3	1	3.160039	2.892171
4	1	2.892171	2.619942
0	0	0.	2.851488
1	1	2.851488	3.116882
2	1	3.116882	2.986624
3	1	2.986624	2.801322
4	1	2.801322	2.877106
0	0	0.	2.619942
1	1	2.619942	2.793102
2	1	2.793102	2.779029
3	1	2.779029	2.795536
4	1	2.795536	2.519456
0	0	0.	2.381501
1	1	2.381501	2.553123
2	1	2.553123	2.831713
3	1	2.831713	2.917403
4	1	2.917403	2.929193
0	0	0.	2.274598
1	1	2.274598	2.530886
2	1	2.530886	2.594638
3	1	2.594638	2.652416
4	1	2.652416	2.855801
0	0	0.	2.193585
1	1	2.193585	2.449873
2	1	2.449873	2.712089
3	1	2.712089	2.698017
4	1	2.698017	2.415084
0	0	0.	1.920730
1	1	1.920730	2.136126
2	1	2.136126	2.446220
3	1	2.446220	2.649354
4	1	2.649354	2.769201
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.078822
1	1	1.078822	7.851668
2	1	7.851668	8.404215
3	1	8.404215	8.369151
4	1	8.369151	7.503736
0	0	0.	0.925386
1	1	0.925386	5.272871
2	1	5.272871	7.750025
3	1	7.750025	7.984636
4	1	7.984636	7.119221
0	0	0.	0.890322
1	1	0.890322	5.237807
2	1	5.237807	7.936715
3	1	7.936715	7.071300
4	1	7.071300	7.538800
0	0	0.	0.890322
1	1	0.890322	5.100613
2	1	5.100613	5.636482
3	1	5.636482	6.475433
4	1	6.475433	7.218618
0	0	0.	0.890322
1	1	0.890322	4.822367
2	1	4.822367	4.733935
3	1	4.733935	4.668177
4	1	4.668177	4.845864
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.473607
1	1	0.473607	0.577207
2	1	0.577207	0.283338
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.829739
1	1	0.829739	11.980971
2	1	11.980971	11.866787
3	1	11.866787	11.755977
4	1	11.755977	11.589951
0	0	0.	1.280351
1	1	1.280351	11.475723
2	1	11.475723	11.623496
3	1	11.623496	11.717931
4	1	11.717931	11.346644
0	0	0.	1.394579
1	1	1.394579	3.231549
2	1	3.231549	11.397643
3	1	11.397643	11.505743
4	1	11.505743	11.157505
0	0	0.	1.394579
1	1	1.394579	2.900113
2	1	2.900113	3.351526
3	1	3.351526	11.042719
4	1	11.042719	11.031202
0	0	0.	1.394579
1	1	1.394579	2.642825
2	1	2.642825	10.865176
3	1	10.865176	10.763266
4	1	10.763266	11.488040
0	0	0.	1.292669
1	1	1.292669	3.129638
2	1	3.129638	11.410007
3	1	11.410007	11.341939
4	1	11.341939	11.419972
0	0	0.	1.292669
1	1	1.292669	3.083589
2	1	3.083589	11.355560
3	1	11.355560	11.295733
4	1	11.295733	10.992338
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.088431
1	1	0.088431	0.094305
2	1	0.094305	0.101836
3	1	0.101836	0.069449
0	0	0.	0.094305
1	1	0.094305	0.084257
2	1	0.084257	0.076972
3	1	0.076972	0.049250
4	1	0.049250	0.046174
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.141785
1	1	0.141785	0.303797
2	1	0.303797	0.324933
3	1	0.324933	0.292528
4	1	0.292528	0.277217
0	0	0.	0.303797
1	1	0.303797	0.280150
2	1	0.280150	0.269648
3	1	0.269648	0.265707
4	1	0.265707	0.217397
0	0	0.	0.324933
1	1	0.324933	0.269153
2	1	0.269153	0.268409
3	1	0.268409	0.261208
4	1	0.261208	0.226132
0	0	0.	0.292528
1	1	0.292528	0.262777
2	1	0.262777	0.258836
3	1	0.258836	0.242827
4	1	0.242827	0.252895
new walking started
