Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
22	4	3	12.582993	0.041494	1.000000	12.582993	0.038398	1.000000	0	1.080622
6	9	5	17.958676	0.007103	0.889312	17.958676	0.006522	0.889312	0	1.088987
24	12	6	22.484741	0.017268	0.751591	22.484741	0.015408	0.751591	0	1.120712
5	11	6	20.653123	0.013164	1.000000	20.653123	0.011084	1.000000	0	1.187649
14	13	6	20.275259	0.015981	0.846639	20.275259	0.014361	0.846639	0	1.112826
17	49	7	33.200305	0.174498	0.537507	33.200305	0.156970	0.537507	0	1.111664
2	57	8	37.589402	0.191864	0.598888	37.589402	0.102052	0.598888	0	1.880055
25	21	8	31.923179	0.113835	0.418112	31.923179	0.062447	0.418112	0	1.822893
23	56	9	40.714317	0.391087	0.385235	40.714317	0.168935	0.385235	0	2.315015
16	91	9	41.222815	0.885913	0.696012	41.222815	0.549516	0.696012	0	1.612168
8	83	9	39.342623	1.852032	0.642052	39.342623	1.195264	0.642052	0	1.549476
12	18	9	24.846361	0.254677	0.634667	24.846361	0.051242	0.634667	0	4.970137
7	17	9	26.060933	0.263132	0.765610	26.060933	0.051141	0.765610	0	5.145246
15	16	10	26.353003	1.340494	0.575582	26.353003	0.104742	0.575582	0	12.798083
18	19	10	25.576705	1.578165	0.591261	25.576705	0.094079	0.591261	0	16.774928
