Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
22	4	3	0.000000	0.000000	0.000000	12.582993	0.051295	1.000000	0	0.000000
6	9	5	0.000000	0.000000	0.000000	17.958676	0.012210	0.889312	0	0.000000
24	12	6	0.000000	0.000000	0.000000	22.256650	0.003036	0.753300	0	0.000000
5	11	6	0.000000	0.000000	0.000000	20.653123	0.004494	1.000000	0	0.000000
14	13	6	0.000000	0.000000	0.000000	19.931878	0.005313	0.770556	0	0.000000
17	49	7	0.000000	0.000000	0.000000	33.200305	0.021762	0.537507	0	0.000000
2	57	8	0.000000	0.000000	0.000000	37.589402	0.048254	0.598888	0	0.000000
25	21	8	0.000000	0.000000	0.000000	31.867214	0.016891	0.419700	0	0.000000
8	83	9	0.000000	0.000000	0.000000	38.082119	0.084124	0.677030	0	0.000000
12	18	9	0.000000	0.000000	0.000000	24.343963	0.022722	0.682946	0	0.000000
7	17	9	0.000000	0.000000	0.000000	25.820248	0.024979	0.823974	0	0.000000
23	56	9	0.000000	0.000000	0.000000	39.478225	0.035438	0.414943	0	0.000000
16	91	9	0.000000	0.000000	0.000000	40.960694	0.068924	0.717270	0	0.000000
18	19	10	0.000000	0.000000	0.000000	25.576705	0.055068	0.591261	0	0.000000
15	16	10	0.000000	0.000000	0.000000	25.527762	0.062445	0.633428	0	0.000000
13	168	12	0.000000	0.000000	0.000000	51.002462	0.264918	0.537860	0	0.000000
10	79	12	0.000000	0.000000	0.000000	42.080305	0.280823	0.499380	0	0.000000
9	55	13	0.000000	0.000000	0.000000	40.664001	0.590910	0.657259	0	0.000000
11	86	13	0.000000	0.000000	0.000000	53.519385	0.342067	0.630443	0	0.000000
4	70	15	0.000000	0.000000	0.000000	61.872117	0.655099	0.532277	0	0.000000
3	31	16	0.000000	0.000000	0.000000	31.371736	0.934115	0.557893	0	0.000000
34	113	16	0.000000	0.000000	0.000000	51.512485	3.321603	0.497530	0	0.000000
19	37	18	0.000000	0.000000	0.000000	46.244791	2.510684	0.429495	0	0.000000
28	43	19	0.000000	0.000000	0.000000	45.540931	2.819328	0.567846	0	0.000000
21	111	19	0.000000	0.000000	0.000000	54.992614	7.494738	0.532563	0	0.000000
26	175	25	0.000000	0.000000	0.000000	67.562027	34.796872	0.376503	0	0.000000
33	35	29	0.000000	0.000000	0.000000	39.699656	78.511235	0.473077	0	0.000000
1	156	29	0.000000	0.000000	0.000000	67.407982	32.120232	0.389449	0	0.000000
