Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
2	5	2	13.427693	0.022950	0.803277	13.427693	0.038163	0.803277
7	4	2	11.350327	0.000191	1.000000	11.350327	0.000357	1.000000
12	6	3	16.928385	0.106327	0.834003	16.928385	0.187821	0.834003
20	3	3	6.206800	0.000209	1.000000	6.206800	0.000450	1.000000
5	4	3	14.210917	0.000227	0.753343	14.210917	0.000500	0.753343
16	5	3	11.609791	0.000251	1.000000	11.609791	0.000568	1.000000
17	3	3	11.549501	0.000267	1.000000	11.549501	0.000722	1.000000
6	4	4	5.856108	0.000983	1.000000	5.856108	0.005552	1.000000
25	4	4	12.781231	0.000383	1.000000	12.781231	0.001139	1.000000
23	14	4	18.728209	0.001616	0.858916	18.728209	0.004196	0.858916
8	14	5	24.058883	0.004085	0.533684	24.058883	0.007743	0.533684
3	5	5	14.492229	0.000659	0.801675	14.492229	0.004655	0.801675
4	5	5	14.663799	0.000996	0.613965	14.663799	0.003238	0.613965
33	5	5	12.203602	0.000656	1.000000	12.203602	0.004012	1.000000
19	6	5	8.841705	0.000911	1.000000	8.841705	0.003390	1.000000
11	10	5	23.089571	0.001033	0.702610	23.089571	0.005576	0.702610
26	7	6	18.292515	0.001190	0.719999	18.292515	0.008379	0.719999
9	21	6	32.362934	0.010475	0.506695	32.362934	0.028040	0.506695
13	35	7	36.103155	0.014723	0.495924	36.103155	0.052969	0.495924
27	24	7	26.430555	0.006727	0.712907	26.430555	0.036677	0.712907
34	11	8	19.639991	0.004416	0.820401	19.639991	0.054589	0.820401
30	15	8	22.792331	0.004168	0.485116	22.792331	0.041794	0.485116
21	26	9	37.929925	0.012916	0.405534	40.754588	0.079448	0.362961
1	63	11	52.323708	0.067188	0.490034	52.750054	0.407302	0.495192
31	35	11	28.470378	0.024623	0.775525	28.506312	0.372788	0.748161
28	26	15	51.058859	0.047285	0.402914	51.058859	0.708515	0.402914
29	190	32	157.374613	0.961300	0.330733	160.405716	18.653327	0.351517
