Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.000279	1.000000	12.582993	0.000509	1.000000
6	9	5	17.958676	0.003174	0.889312	17.958676	0.004248	0.889312
24	12	6	22.484741	0.003147	0.751591	22.484741	0.006505	0.751591
5	11	6	20.653123	0.003259	1.000000	20.653123	0.007481	1.000000
14	13	6	20.275259	0.003064	0.846639	20.275259	0.005698	0.846639
17	49	7	33.200305	0.029782	0.537507	33.040879	0.044027	0.555870
2	57	8	37.589402	0.090497	0.598888	37.589402	0.103403	0.598888
25	21	8	31.923179	0.041080	0.418112	31.923179	0.047380	0.418112
8	83	9	39.342623	0.527155	0.642052	39.321567	0.567981	0.642675
12	18	9	24.846361	0.171863	0.634667	24.846361	0.176846	0.634667
7	17	9	26.060933	0.194570	0.765610	26.060933	0.198578	0.765610
23	56	9	40.714317	0.174783	0.385235	40.714317	0.190905	0.385235
16	91	9	41.222815	0.260211	0.696012	41.222815	0.296082	0.696012
18	19	10	25.576705	1.245981	0.591261	25.576705	1.257669	0.591261
15	16	10	26.353003	1.029925	0.575582	26.204733	1.038517	0.580207
13	168	12	51.308311	57.195630	0.526637	51.308311	57.335603	0.526637
10	79	12	42.396375	72.592590	0.497240	42.396375	72.648555	0.497240
