Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.000368	1.000000	12.582993	0.032503	1.000000
6	9	5	17.958676	0.000667	0.889312	17.958676	0.006754	0.889312
24	12	6	22.227653	0.002223	0.753248	22.484741	0.008910	0.751591
5	11	6	20.653123	0.001875	1.000000	20.653123	0.006002	1.000000
14	13	6	19.564527	0.001659	0.923228	20.275259	0.005032	0.846639
17	49	7	33.200305	0.016758	0.537507	33.200305	0.045471	0.537507
2	57	8	37.589402	0.012582	0.598888	37.589402	0.047858	0.598888
25	21	8	30.711745	0.009199	0.488824	31.923179	0.044565	0.418112
8	83	9	37.417973	0.039977	0.702717	39.321567	0.163509	0.642675
12	18	9	24.846361	0.002494	0.634667	24.846361	0.022320	0.634667
7	17	9	25.170058	0.002827	0.882562	26.060933	0.050136	0.765610
23	56	9	39.392281	0.019812	0.404190	40.714317	0.072775	0.385235
16	91	9	40.958941	0.055163	0.707346	41.222815	0.191169	0.696012
18	19	10	23.464148	0.008216	0.743449	25.576705	0.076561	0.591261
15	16	10	26.289308	0.007145	0.521985	26.353003	0.066655	0.575582
13	168	12	48.925078	0.188348	0.556116	51.308311	0.612007	0.526637
10	79	12	41.081482	0.061034	0.523689	42.396375	0.345445	0.497240
9	55	13	39.373431	0.040720	0.624508	40.742295	0.537288	0.639790
11	87	13	54.322417	0.090027	0.610827	54.352058	0.385576	0.623255
4	70	15	60.562902	0.066908	0.535149	63.304682	0.530378	0.505520
3	31	16	31.264852	0.022561	0.565716	31.374999	0.407113	0.592422
34	113	16	48.758766	0.262747	0.495703	52.291511	2.209860	0.455793
19	37	18	45.387581	0.064044	0.460057	46.244791	0.846605	0.429495
28	43	19	42.581277	0.049196	0.589410	46.098306	1.199506	0.565127
21	111	19	53.932613	0.238013	0.502675	56.830368	3.044970	0.492601
26	175	25	59.947868	1.096336	0.441980	69.949923	15.272367	0.315736
33	35	29	38.996515	0.174136	0.489310	41.837033	5.871597	0.485587
1	182	36	71.617209	0.689137	0.392059	79.247655	12.331867	0.346530
27	156	37	74.326362	0.889345	0.421949	84.328480	17.709171	0.387715
20	124	50	68.365530	1.941216	0.413435	78.406260	476.547573	0.422021
30	130	55	93.228927	2.467626	0.392715	96.862717	95.570483	0.357351
