Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.198229	1.000000	12.582993	0.302083	1.000000
6	9	5	17.958676	0.008398	0.889312	17.958676	0.023538	0.889312
24	12	6	22.227653	0.003178	0.753248	22.484741	0.015624	0.751591
5	11	6	20.653123	0.003005	1.000000	20.653123	0.010850	1.000000
14	13	6	19.564527	0.003242	0.923228	20.275259	0.010920	0.846639
17	49	7	33.200305	0.048954	0.537507	33.200305	0.107092	0.537507
2	57	8	37.589402	0.024906	0.598888	37.589402	0.083368	0.598888
25	21	8	30.711745	0.012043	0.488824	31.923179	0.044300	0.418112
8	83	9	37.417973	0.108170	0.702717	39.321567	0.273760	0.642675
12	18	9	24.846361	0.010352	0.634667	24.846361	0.062088	0.634667
7	17	9	25.170058	0.015263	0.882562	26.060933	0.045336	0.765610
23	56	9	39.392281	0.032947	0.404190	40.714317	0.110691	0.385235
16	91	9	40.958941	0.139320	0.707346	41.222815	0.347440	0.696012
18	19	10	23.464148	0.014380	0.743449	25.576705	0.071794	0.591261
15	16	10	26.289308	0.013699	0.521985	26.353003	0.062635	0.575582
13	168	12	48.925078	0.378234	0.556116	51.308311	0.903603	0.526637
10	79	12	41.081482	0.122518	0.523689	42.396375	0.376188	0.497240
9	55	13	39.373431	0.183551	0.624508	40.742295	0.522040	0.639790
11	87	13	54.322417	0.184462	0.610827	54.352058	0.509788	0.623255
4	70	15	60.562902	0.155675	0.535149	63.304682	0.467985	0.505520
3	31	16	31.264852	0.049849	0.565716	31.374999	0.758774	0.592422
34	113	16	48.758766	0.519507	0.495703	52.028784	2.470124	0.423592
19	37	18	45.387581	0.106176	0.460057	46.244791	0.785179	0.429495
28	43	19	42.581277	0.277163	0.589410	46.098306	1.091947	0.565127
21	111	19	53.932613	0.400969	0.502675	56.813112	3.466285	0.507869
26	175	25	59.947868	2.293832	0.441980	69.654329	12.851479	0.315736
33	35	29	38.996515	0.405917	0.489310	41.837033	6.338918	0.485587
1	182	36	71.617209	1.224485	0.392059	79.247655	16.842764	0.346530
27	156	37	74.326362	1.732654	0.421949	83.693923	21.963736	0.404960
20	124	50	68.365530	3.356259	0.413435	75.662344	110.829541	0.431147
30	130	55	93.228927	2.082018	0.392715	96.862717	251.744625	0.357351
29	744	58	176.616931	15.297135	0.318687	209.546178	771.928108	0.303096
