Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.000147	1.000000	12.582993	0.000348	1.000000
22	4	3	12.582993	0.012370	1.000000	12.582993	0.012557	1.000000
22	4	3	12.582993	0.000126	1.000000	12.582993	0.017567	1.000000
6	9	5	17.958676	0.001156	0.889312	17.958676	0.007002	0.889312
24	12	6	22.227653	0.004004	0.753248	22.484741	0.011234	0.751591
5	11	6	20.653123	0.001988	1.000000	20.653123	0.007596	1.000000
14	13	6	19.564527	0.001696	0.923228	20.275259	0.005448	0.846639
17	49	7	33.200305	0.020573	0.537507	33.200305	0.048474	0.537507
2	57	8	37.589402	0.013033	0.598888	37.589402	0.049632	0.598888
25	21	8	30.711745	0.005331	0.488824	31.923179	0.029553	0.418112
8	83	9	37.417973	0.039748	0.702717	39.321567	0.174328	0.642675
12	18	9	24.846361	0.003693	0.634667	24.846361	0.023407	0.634667
7	17	9	25.170058	0.007274	0.882562	26.060933	0.032182	0.765610
23	56	9	39.392281	0.022905	0.404190	40.714317	0.072489	0.385235
16	91	9	40.958941	0.064944	0.707346	41.222815	0.195828	0.696012
18	19	10	23.464148	0.005841	0.743449	25.576705	0.060529	0.591261
15	16	10	26.289308	0.018642	0.521985	26.353003	0.064167	0.575582
13	168	12	48.925078	0.178818	0.556116	51.308311	0.586520	0.526637
10	79	12	41.081482	0.056552	0.523689	42.396375	0.348875	0.497240
9	55	13	39.373431	0.039800	0.624508	40.742295	0.636585	0.639790
11	87	13	54.322417	0.093010	0.610827	54.352058	0.384791	0.623255
4	70	15	60.562902	0.067798	0.535149	63.304682	0.656209	0.505520
3	31	16	31.264852	0.024337	0.565716	31.374999	0.420507	0.592422
34	113	16	48.758766	0.273730	0.495703	52.291511	2.671726	0.455793
19	37	18	45.387581	0.058851	0.460057	46.244791	0.848964	0.429495
28	43	19	42.581277	0.050333	0.589410	46.098306	1.744904	0.565127
21	111	19	53.932613	0.245346	0.502675	56.830368	4.213145	0.492601
26	175	25	59.947868	1.084031	0.441980	69.949923	15.922465	0.315736
33	35	29	38.996515	0.176729	0.489310	41.837033	6.194161	0.485587
1	182	36	71.617209	0.658512	0.392059	79.247655	12.460195	0.346530
27	156	37	74.326362	0.887026	0.421949	84.328480	17.392412	0.387715
Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.062648	1.000000	12.582993	0.114749	1.000000
6	9	5	17.958676	0.003740	0.889312	17.958676	0.013097	0.889312
24	12	6	22.227653	0.001585	0.753248	22.484741	0.007376	0.751591
5	11	6	20.653123	0.001192	1.000000	20.653123	0.004938	1.000000
14	13	6	19.564527	0.001574	0.923228	20.275259	0.004396	0.846639
17	49	7	33.200305	0.016891	0.537507	33.200305	0.040036	0.537507
2	57	8	37.589402	0.012297	0.598888	37.589402	0.031027	0.598888
25	21	8	30.711745	0.005647	0.488824	31.923179	0.017275	0.418112
8	83	9	37.417973	0.046054	0.702717	39.321567	0.105493	0.642675
12	18	9	24.846361	0.005004	0.634667	24.846361	0.010997	0.634667
7	17	9	25.170058	0.003963	0.882562	26.060933	0.014167	0.765610
23	56	9	39.392281	0.019533	0.404190	40.714317	0.057660	0.385235
16	91	9	40.958941	0.053539	0.707346	41.222815	0.122296	0.696012
18	19	10	23.464148	0.005601	0.743449	25.576705	0.022138	0.591261
15	16	10	26.289308	0.005830	0.521985	26.353003	0.013086	0.575582
13	168	12	48.925078	0.170814	0.556116	51.308311	0.415258	0.526637
10	79	12	41.081482	0.054736	0.523689	42.396375	0.144907	0.497240
9	55	13	39.373431	0.042189	0.624508	40.742295	0.132167	0.639790
11	87	13	54.322417	0.075487	0.610827	54.352058	0.174553	0.623255
4	70	15	60.562902	0.071564	0.535149	63.304682	0.182638	0.505520
3	31	16	31.264852	0.021908	0.565716	31.374999	0.070809	0.592422
34	113	16	48.758766	0.263835	0.495703	51.092671	0.729052	0.423803
19	37	18	45.387581	0.049034	0.460057	46.244791	0.152214	0.429495
28	43	19	42.581277	0.045044	0.589410	46.098306	0.181467	0.565127
21	111	19	53.932613	0.217625	0.502675	56.813112	0.734110	0.507869
26	175	25	59.947868	1.045993	0.441980	69.654329	3.968498	0.315736
33	35	29	38.996515	0.173499	0.489310	41.837033	0.872466	0.485587
1	182	36	71.617209	0.617766	0.392059	79.247655	1.850181	0.346530
27	156	37	74.326362	0.800913	0.421949	83.693923	3.590071	0.404960
20	124	50	68.365530	1.421230	0.413435	74.565014	8.502250	0.414331
30	130	55	93.228927	2.196448	0.392715	96.862717	9.458359	0.357351
29	744	58	176.616931	13.345296	0.318687	209.470335	60.799647	0.302898
31	163	85	104.100267	10.861126	0.377785	117.225592	261.134548	0.331036
