38	23;1;2;1;p38	23;1;2;1;p38
8	23;1;2;1;p8	23;1;2;1;p8
46	23;1;2;30	23;1;2;30
31	23;1;2;31;p31	23;1;2;31;p31
54	23;1;2;31;p54	23;1;2;31;p54
33	23;1;2;5	23;1;2;5
17	23;1;2;2	23;1;2;mix|2|20|4|8|9
7	23;1;2;20	23;1;2;mix|2|20|4|8|9
10	23;1;2;4	23;1;2;mix|2|20|4|8|9
9	23;1;2;8	23;1;2;mix|2|20|4|8|9
37	23;1;2;8	23;1;2;mix|2|20|4|8|9
21	23;1;2;9	23;1;2;mix|2|20|4|8|9
16	23;1;3	23;1;3
48	23;1;3	23;1;3
1	23;1;1;1	23;1;mix|1|99
5	23;1;1;1	23;1;mix|1|99
11	23;1;1;5	23;1;mix|1|99
25	23;1;1;3	23;1;mix|1|99
26	23;1;1;2	23;1;mix|1|99
28	23;1;1;1	23;1;mix|1|99
42	23;1;1;10	23;1;mix|1|99
15	23;1;99	23;1;mix|1|99
41	23;1;99	23;1;mix|1|99
18	23;2;1;3	23;2;1;3
13	23;2;p13	23;2;p13
34	23;2;p34	23;2;p34
30	23;3;3;p30	23;3;3;mix|p30|p53
53	23;3;3;p53	23;3;3;mix|p30|p53
19	23;3;3;p19	23;3;3;p19
52	23;3;3;p52	23;3;3;p52
23	23;3;1;1	23;3;mix|1|2
27	23;3;1;1	23;3;mix|1|2
29	23;3;1;3	23;3;mix|1|2
49	23;3;1;18	23;3;mix|1|2
50	23;3;1;1	23;3;mix|1|2
20	23;3;2;1	23;3;mix|1|2
22	23;3;2;1	23;3;mix|1|2
36	23;3;2;1	23;3;mix|1|2
39	23;3;2;1	23;3;mix|1|2
0	23;4;10	23;4;10
2	23;4;10	23;4;10
3	23;4;99	23;4;99
4	23;4;10	23;4;10
6	23;4;99	23;4;99
12	23;4;99	23;4;99
14	23;4;1	23;4;1
24	23;4;1	23;4;1
35	23;4;1	23;4;1
40	23;4;1	23;4;1
43	23;4;1	23;4;1
44	23;4;3	23;4;3
45	23;4;99	23;4;99
47	23;4;3	23;4;3
51	23;4;99	23;4;99
55	23;5;3	23;5;3
32	23;5;5	23;5;5
