6	17;1;1;1	17;1;1;1;1
24	17;1;1;1	17;1;1;1;1
38	17;1;1;10	17;1;1;1;10
43	17;1;3	17;1;3
8	17;2;1;1;1;4;3	17;2;1;16;5;1;1;4;3
10	17;2;1;1;1;p10	17;2;1;16;5;mix|p10|p19
19	17;2;1;1;1;p19	17;2;1;16;5;mix|p10|p19
30	17;2;1;1;1;p30	17;2;1;16;5;1;3;1;1;p30
46	17;2;1;p46	17;2;1;p46
29	17;2;2;33;99	17;2;2;33;99
2	17;2;3;p2	17;2;3;mix|p2|p27
27	17;2;3;p27	17;2;3;mix|p2|p27
32	17;2;3;p32	17;2;3;p32
42	17;2;3;p42	17;2;3;p42
5	17;2;3;p5	17;2;3;p5
7	17;2;3;p7	17;2;3;p7
13	17;3;1;2;2	17;3;1;2;2
21	17;3;1;2;8	17;3;1;2;8
28	17;3;1;2;2	17;3;1;2;2
40	17;3;1;2;99;11;8;6	17;3;1;2;99;11;8;6
20	17;3;99;p20	17;3;2;99;p20
39	17;3;99;p39	17;3;2;99;p39
14	17;5;1;16;5;1;1;1;13	17;5;1;16;5;1;1;1;13
12	17;5;1;17;7;1	17;5;1;17;7;1
0	17;5;1;2;p0	17;5;1;2;p0
4	17;5;1;2;p4	17;5;1;2;p4
23	17;5;1;p23	17;5;1;p23
48	17;5;1;p48	17;5;1;p48
26	17;5;3;p26	17;5;3;p26
31	17;5;3;p31	17;5;3;p31
1	17;7;1;3	17;7;1;3
3	17;7;1;2	17;7;1;2
9	17;7;1;4	17;7;1;4
11	17;7;1;4	17;7;1;4
16	17;7;3	17;7;3
17	17;7;3	17;7;3
18	17;7;1;2	17;7;1;2
22	17;7;3	17;7;3
25	17;7;3	17;7;3
33	17;7;3;16;5;1;3;2	17;7;3;16;5;1;3;2
34	17;7;1;4	17;7;1;4
35	17;7;3;16;5;1;3;2	17;7;3;16;5;1;3;2
36	17;7;3;16;5;1;3;2	17;7;3;16;5;1;3;2
37	17;7;3;16;5;1;3;2	17;7;3;16;5;1;3;2
41	17;7;1;4	17;7;1;4
44	17;7;1;5	17;7;1;5
45	17;7;3	17;7;3
47	17;7;3	17;7;3
15	17;p15	17;p15
