IDENTIFIER	BINCODE	BinName	TrivialName
at5g35525	35.2	35.2	35.2
at3g26850	35.2	35.2	35.2
at4g03816	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at5g48700	GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin	35.2
at4g27060	35.2	35.2	CN
at5g27603	35.2	35.2	35.2
at3g42670	GMM:28.99	DNA.unspecified	CHR38
at2g28380	GMM:27.4	RNA.RNA binding	DRB2
at3g29788	35.2	35.2	35.2
at1g50380	GMM:29.5	protein.degradation	35.2
at4g26860	35.2	35.2	35.2
at2g01520	GMM:20.2.99	stress.abiotic.unspecified	MLP328
at2g07340	GMM:29.6	protein.folding	PFD1
at5g05230	35.2	35.2	35.2
at4g22270	35.2	35.2	ATMRB1
at5g05320	GMM:26.7	"misc.oxidases - copper, flavone etc"	35.2
at1g63590	GMM:30.2.99	signalling.receptor kinases.misc	35.2
at4g22230	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at4g19500	GMM:20.1.7	stress.biotic.PR-proteins	35.2
at1g02020	GMM:12.4	N-metabolism.misc	35.2
at1g54670	GMM:29.2.7.1.1	protein.synthesis.transfer RNA.nucleus.tRNA-Ala	35.2
at2g16450	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at2g10230	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at2g04300	GMM:30.2.99	signalling.receptor kinases.misc	35.2
at4g07825	35.2	35.2	35.2
at3g29790	35.2	35.2	35.2
at1g28890	GMM:29.2.7.1.15	protein.synthesis.transfer RNA.nucleus.tRNA-Pro	35.2
at1g06265	GMM:32	"micro RNA, natural antisense etc"	35.2
at5g15725	35.2	35.2	35.2
at1g80720	35.2	35.2	35.2
at1g53940	GMM:26.28	misc.GDSL-motif lipase	GLIP2
at1g64840	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g43684	GMM:28.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase	35.2
at1g78490	GMM:26.10	misc.cytochrome P450	CYP708A3
at1g48268	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at1g62250	35.2	35.2	35.2
at2g21670	GMM:29.2.7.1.11	protein.synthesis.transfer RNA.nucleus.tRNA-Leu	35.2
at1g37045	35.2	35.2	35.2
at5g51520	GMM:26.18	misc.invertase/pectin methylesterase inhibitor family protein	35.2
at4g18340	GMM:26.4	"misc.beta 1,3 glucan hydrolases"	35.2
at4g33610	GMM:35.1.40	not assigned.no ontology.glycine rich proteins	35.2
at4g28520	GMM:33.1	development.storage proteins	CRU3
at4g04408	GMM:28.1.3.2.1	DNA.synthesis/chromatin structure.histone.core.H2A	35.2
at1g29740	GMM:30.2.8.2	signalling.receptor kinases.leucine rich repeat VIII.type 2	35.2
at2g13960	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family	35.2
at3g06430	GMM:33.99	development.unspecified	EMB2750
at4g04165	35.2	35.2	35.2
at2g41380	GMM:33.99	development.unspecified	35.2
at1g23690	35.2	35.2	35.2
at2g46550	35.2	35.2	35.2
at1g32630	35.2	35.2	35.2
at5g32490	35.2	35.2	35.2
at3g15357	35.2	35.2	35.2
at1g35240	GMM:27.3.4	RNA.regulation of transcription.auxin response transcription factor family (ARF)	ARF20
at5g15020	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	SNL2
at3g19720	GMM:26.17	misc.dynamin	DRP5B
at5g03990	35.2	35.2	35.2
at5g51030	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	35.2
at1g04960	35.2	35.2	35.2
at5g26283	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
atmg00010	35.2	35.2	ORF153A
