BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'-1'	'root'	''	''	
'0'	'control genes'	''	''	
'1'	'PS'	''	''	
'1.1'	'PS.lightreaction'	''	''	
'1.1.1'	'PS.lightreaction.photosystem II'	''	''	
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'g5059.t1|pacid:27580965'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre02.g110750.t1.2|pacid:27575720'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre12.g548950.t1.2|pacid:27582906'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre16.g673650.t1.1|pacid:27567067'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'g6609.t1|pacid:27569374'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre12.g548400.t1.2|pacid:27582872'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre06.g284200.t1.2|pacid:27568343'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'g6631.t1|pacid:27568875'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre17.g720250.t1.2|pacid:27572055'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'g11162.t2|pacid:27580342'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'g1276.t1|pacid:27577733'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre03.g156900.t1.2|pacid:27577220'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'cre06.g283950.t1.2|pacid:27569128'	'Chloroa_b-bind  no original description'	T
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'g11162.t1|pacid:27580343'	'Chloroa_b-bind  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'g12371.t1|pacid:27581092'	'PsbP  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre08.g362900.t1.3|pacid:27562819'	'PsbP  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre07.g328200.t1.2|pacid:27563835'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre01.g016600.t1.2|pacid:27578819'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre06.g261000.t1.2|pacid:27568726'	'PsbR  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre10.g446350.t1.3|pacid:27580194'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'g8723.t1|pacid:27563324'	'PsbQ  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre06.g251150.t1.2|pacid:27568806'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre01.g016750.t1.2|pacid:27578012'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre16.g678800.t1.3|pacid:27566473'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre03.g198950.t1.2|pacid:27577369'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'g9830.t1|pacid:27569696'	'MSP  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre05.g243800.t1.2|pacid:27572859'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre06.g280150.t1.2|pacid:27568780'	'no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre12.g550850.t1.2|pacid:27581146'	'PsbP  no original description'	T
'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	'cre10.g440450.t1.2|pacid:27579618'	'Psb28 psbW  no original description'	T
'1.1.1.3'	'PS.lightreaction.photosystem II.biogenesis'	'g12006.t1|pacid:27583046'	'no original description'	T
'1.1.1.3'	'PS.lightreaction.photosystem II.biogenesis'	'g12006.t2|pacid:27583047'	'no original description'	T
'1.1.1.3'	'PS.lightreaction.photosystem II.biogenesis'	'cre10.g456300.t1.3|pacid:27579627'	'no original description'	T
'1.1.1.3'	'PS.lightreaction.photosystem II.biogenesis'	'cre09.g416200.t1.2|pacid:27570836'	'no original description'	T
